latitude,longitude,cell,row,column
22.609478,114.03076599999999,12-20,12,20
22.601433,114.03776699999999,12-20,12,20
22.596394,114.04284399999999,11-20,11,20
22.59433,114.04541599999999,11-20,11,20
22.593854999999998,114.04794299999999,11-20,11,20
22.592512,114.049352,11-20,11,20
22.590654,114.051298,11-21,11,21
22.587845,114.055034,11-21,11,21
22.584046,114.05812,11-21,11,21
22.578552,114.06004399999999,11-21,11,21
22.576941,114.06091599999999,11-21,11,21
22.575929000000002,114.06237,11-21,11,21
22.575599,114.065344,11-21,11,21
22.574277,114.069929,11-21,11,21
22.571923,114.072345,11-21,11,21
22.567544,114.07265,11-21,11,21
22.567414000000003,114.072725,11-21,11,21
22.566254999999998,114.07279299999999,11-21,11,21
22.558641,114.07287,11-21,11,21
22.555767000000003,114.072961,11-21,11,21
22.546463,114.073104,10-21,10,21
22.542404,114.07335,10-21,10,21
22.54068,114.074037,10-21,10,21
22.537411,114.07320700000001,10-21,10,21
22.531531,114.07336299999999,10-21,10,21
22.530333,114.074141,10-21,10,21
22.529268,114.07576200000001,10-21,10,21
22.529292,114.081414,10-21,10,21
22.529675,114.082374,10-21,10,21
22.532552,114.08403600000001,10-21,10,21
22.534751999999997,114.087673,10-21,10,21
22.534861,114.092673,10-21,10,21
22.535565,114.099228,10-21,10,21
22.535633999999998,114.106706,10-22,10,22
22.534693,114.11071799999999,10-22,10,22
22.534454999999998,114.11200600000001,10-22,10,22
22.535199,114.115256,10-22,10,22
22.534995000000002,114.115218,10-22,10,22
22.534622,114.11339299999999,10-22,10,22
22.534232,114.111597,10-22,10,22
22.534421,114.11099399999999,10-22,10,22
22.534509,114.11048000000001,10-22,10,22
