latitude,longitude,cell,row,column
22.535338,114.10759399999999,10-22,10,22
22.535219,114.09982600000001,10-21,10,21
22.535021,114.09635,10-21,10,21
22.534228,114.08613600000001,10-21,10,21
22.531295,114.08386200000001,10-21,10,21
22.529273,114.082145,10-21,10,21
22.529035,114.074678,10-21,10,21
22.528837,114.05476499999999,10-21,10,21
22.527310999999997,114.03948799999999,10-20,10,20
22.527945000000003,114.031076,10-20,10,20
22.533970999999998,114.029016,10-20,10,20
22.542295000000003,114.02721399999999,10-20,10,20
22.549272,114.022493,10-20,10,20
22.554819000000002,114.02009,11-20,11,20
22.563617999999998,114.017772,11-20,11,20
22.5698,114.01433899999999,11-20,11,20
22.575745,114.01339399999999,11-20,11,20
22.594763,114.01571200000001,11-20,11,20
22.602054000000003,114.01597,12-20,12,20
22.608869,114.013653,12-20,12,20
22.622814,114.012451,12-20,12,20
22.62424,114.01451100000001,12-20,12,20
22.625576000000002,114.016465,12-20,12,20
22.617520000000003,114.02221499999999,12-20,12,20
22.614113,114.025949,12-20,12,20
22.612687,114.02766499999998,12-20,12,20
22.611696,114.02865200000001,12-20,12,20
22.610864000000003,114.02921,12-20,12,20
22.610285,114.02999399999999,12-20,12,20
